RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023
1347,10,Queens County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,81,568246.7218,567267.2129,565971.9034,565488.4282,566208.6014,567031.2438,567767.1552,567775.0169,568448.8198,568899.125,569340.7709,569813.3537,571595.8416,575891.1194,582376.9619,588179.355,593802.0452,597237.545,601944.4284,606513.2998,612377.1437,619082.4053,625278.7161,629672.6576,631297.4058,631859.6408,633423.4989,635861.081,639305.7508,643937.9752,646797.5094,646941.5081,642930.4613,639045.0815,635780.5263,630881.5367,625566.4771,620921.9317,620225.0437,625580.8218,637445.4434,654061.7133
207,11,King County,county,WA,WA,"Seattle-Tacoma-Bellevue, WA",53,33,630635.698,634544.8947,639206.3342,644152.3233,646644.1984,647165.9327,647794.6664,651703.4433,659484.9503,669012.6892,679505.3564,688755.7713,697201.7102,705473.3075,715249.7658,727285.8791,740279.3713,752242.6485,761121.2313,765774.5741,768081.1719,770594.8538,775846.0306,784895.5796,801112.7225,822961.7446,847134.6661,866667.1672,877856.8769,878911.7119,870018.5219,855838.2952,841285.3785,831925.3563,826630.9309,822505.1586,818886.4991,815276.0517,813078.5552,810596.7668,811323.8314,815470.5558
445,12,Clark County,county,NV,NV,"Las Vegas-Henderson-Paradise, NV",32,3,308908.6325,310523.6466,312328.8263,313642.4856,314087.5204,313951.3096,313882.3567,314808.7782,316602.087,319003.9127,322224.0825,325930.1796,329705.9478,333549.8983,337693.3811,342429.9602,347552.6834,353339.6595,359300.5574,365070.2206,370196.0171,375095.222,380486.5838,385854.2443,392493.884,399991.2682,408483.6598,416642.1633,424161.2783,430757.8806,434593.949,434953.8183,431626.748,426758.0209,421128.8243,415543.7239,410104.3054,405752.3838,402965.269,401544.7728,401089.1642,402050.1658
3250,13,San Bernardino County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",6,71,381595.8157,383209.3411,383816.8953,384571.2076,384781.6915,384601.6147,384773.1879,386878.2049,391582.8812,398520.9855,407215.896,416585.2329,424426.6021,430866.4667,436111.149,442275.731,449219.054,456270.4576,462366.7213,467218.9895,471948.288,477637.363,484660.2615,492250.3566,500509.6059,509186.0119,518459.694,527251.9125,534545.1578,539661.5796,541605.3012,540482.2712,537800.688,536336.1464,535838.7334,534756.9559,530642.0751,525619.0514,521448.6958,519279.127,519085.8836,520403.9547
2049,14,Tarrant County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,439,244570.7755,245958.44,247292.4985,248229.8948,248609.3885,248860.6546,249608.6313,251182.6716,253682.1064,256719.9663,260325.4736,263922.9474,267542.4605,270878.8331,274045.8232,277090.3586,280380.921,283925.6571,287166.4387,289743.809,291844.4947,294437.8888,298160.5547,302545.9268,308349.709,315128.0158,322648.1764,329584.9582,335372.4344,340183.9345,342999.8872,343698.7195,342846.3115,341602.1103,340097.1507,337531.2943,334436.5648,331517.7974,329842.9672,329008.5615,329323.9006,330347.5187
386,15,Bexar County,county,TX,TX,"San Antonio-New Braunfels, TX",48,29,197879.3165,199051.8045,200101.0605,200806.3556,201163.8293,201469.982,202229.7108,203468.6337,205437.9401,207822.516,210615.9788,213224.6532,215790.1489,218338.5291,221160.1052,224146.3506,227484.7872,231124.4956,234613.1302,237361.4907,239463.8965,241448.1486,244144.0096,247374.3202,251647.9397,256352.1263,261486.5722,266503.0022,271012.5469,274799.9531,277144.7237,277904.7305,277375.5442,276627.9076,275928.0995,274707.1034,273493.2694,272542.8294,272756.5112,272844.7441,273032.4171,273280.8283
3136,16,Santa Clara County,county,CA,CA,"San Jose-Sunnyvale-Santa Clara, CA",6,85,1153656.418,1163402.205,1174241.342,1179005.556,1174171.454,1162658.635,1154397.38,1156196.201,1169676.233,1189326.025,1213870.502,1237608.718,1255793.371,1267920.741,1277489.306,1292733.405,1312528.372,1333541.43,1351718.395,1364839.891,1375284.021,1385807.368,1400673.627,1422406.467,1455784.115,1497165.694,1541799.842,1576363.704,1596715.917,1598146,1586483.78,1565800.198,1544083.893,1527688.461,1520621.839,1516827.704,1504717.936,1485047.56,1466361.367,1457408.276,1460170.358,1472480.132
1561,17,Broward County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,11,275583.5554,277567.5159,279065.8655,279722.4042,279614.1382,279366.3293,279891.2413,281483.9079,284146.7961,287199.7714,291087.377,295094.497,299266.5258,303134.8222,306890.6183,310598.5739,314843.0822,319799.6577,325361.7648,330598.135,335193.5986,339441.9546,344415.1628,350108.8262,356611.9599,363415.2795,370764.9786,378449.8208,385607.296,392241.8493,397232.6607,400346.1165,401582.6577,402540.1225,404086.4157,405049.8362,405938.7255,406831.4779,409205.4289,411907.4409,414836.1589,418506.5741
791,18,Wayne County,county,MI,MI,"Detroit-Warren-Dearborn, MI",26,163,113413.218,114570.5904,116255.0275,118228.3384,119772.6673,120348.4909,120245.62,120263.1537,121444.1496,123445.772,126110.6128,128736.6619,131875.0777,135319.7368,138915.7855,141923.9364,144610.7073,147065.0498,148566.8472,148846.7486,148001.9627,147147.5069,146821.0167,147029.851,148781.0793,151879.9278,155701.2858,158718.9331,160814.4992,162306.6089,162711.7358,161802.3536,159997.4378,158458.483,157287.7714,156484.0566,157363.2133,158648.4016,160110.919,160454.8009,161028.7283,161915.5959
1510,19,Alameda County,county,CA,CA,"San Francisco-Oakland-Berkeley, CA",6,1,836192.6881,839318.9047,843752.6406,848049.5876,847729.7254,844312.1553,842502.6559,846992.9916,857951.6449,871545.2629,887308.5968,902762.9735,918231.2817,933985.3253,951108.9251,970563.0138,991240.5301,1011804.622,1029163.973,1038773.936,1043073.185,1046081.298,1052649.076,1062319.192,1080925.008,1108689.995,1143101.216,1170771.076,1186094.062,1186776.248,1174792.295,1153812.915,1129715.805,1110463.682,1096670.911,1084954.524,1073399.293,1063593.451,1059589.553,1059149.171,1063065.32,1068946.134
